"","SA2_2016","Index1_point","Index1_lower","Index1_upper","Index1_Prob_PercentileAbove80","Index1_Prob_PercentileAbove95","Index1_Prob_PercentileAbove99","Index2_point","Index2_lower","Index2_upper","Index2_Prob_PercentileAbove80","Index2_Prob_PercentileAbove95","Index2_Prob_PercentileAbove99","Index3_point","Index3_lower","Index3_upper","Index3_Prob_PercentileAbove80","Index3_Prob_PercentileAbove95","Index3_Prob_PercentileAbove99","Index4_point","Index4_lower","Index4_upper","Index4_Prob_PercentileAbove80","Index4_Prob_PercentileAbove95","Index4_Prob_PercentileAbove99","Scores1_point","Scores1_lower","Scores1_upper","Scores2_point","Scores2_lower","Scores2_upper","Scores3_point","Scores3_lower","Scores3_upper","Scores4_point","Scores4_lower","Scores4_upper"
"1900",213051366,4,2,7,0,0,0,36,16,56,0,0,0,8,1,19,0,0,0,3,1,8,0,0,0,-2.4031953588848,-3.09772690593708,-1.71828417438486,-0.454895173881462,-1.21385218599231,0.330681234452621,-1.31497803453648,-1.85483854883147,-0.737878689119979,-27390.9924593949,-38636.2869721595,-15370.0130943692
"1901",213051368,15,8,24,0,0,0,42,24,58,0,0,0,29,14,43,0,0,0,24,14,37,0,0,0,-0.933017371213373,-1.45997420000726,-0.418549069967111,-0.244314279524499,-0.848767011026471,0.392330631579225,-0.552304264829414,-0.992159619515099,-0.117168938034049,-5988.35899141292,-10757.4906745925,-1270.40421063417
"1902",213051466,4,2,7,0,0,0,21,4,39,0,0,0,4,1,11,0,0,0,7,3,12,0,0,0,-2.41671870360691,-3.11323645803196,-1.74491246827023,-1.07994644672811,-1.92102662004291,-0.238579421298847,-1.67199601276947,-2.2697265437441,-1.0938499887877,-20026.3322429464,-27185.6496776949,-13101.5882407047
"1903",214021378,93,74,100,0.88525,0.373125,0.058625,59,32,82,0.043375,0.000875,0,76,53,94,0.360625,0.0175,0.000875,73,54,87,0.191,0,0,1.206960938955,0.52403394068907,1.88819055671219,0.330566792663471,-0.56562275987728,1.22864185357491,0.713536487778045,0.0937347621505921,1.2894867399233,3489.19342523464,458.362986916395,6305.59015822494
"1904",215011386,66,32,96,0.221875,0.02025,0.00125,90,68,100,0.774,0.2325,0.028125,88,66,100,0.724625,0.190125,0.020875,90,71,98,0.842875,0.108,0,0.473442769389685,-0.387280198610142,1.22467799536808,1.49018753088188,0.472169875130698,2.43766021133905,1.04218573379028,0.333356961797163,1.708933919404,7452.1490894674,2383.66895533062,12219.7319906983
"1905",215011387,92,74,100,0.86675,0.259875,0.02025,82,65,96,0.577125,0.024875,0.000375,91,77,99,0.906125,0.211125,0.009625,70,61,77,0.002625,0,0,1.12899908658246,0.516633650103769,1.70915993405143,1.17544097211895,0.492737801584815,1.90075284340506,1.15360399365127,0.657458488047727,1.6324743237009,2988.41114555363,1703.14621328764,4228.92473554718
"1906",215011390,83,59,98,0.583125,0.05925,0.001375,86,70,98,0.742125,0.07025,0.000375,90,75,99,0.87775,0.1785,0.0085,87,75,94,0.872375,0.00325,0,0.852538715877457,0.243264021066518,1.43888903576476,1.33541656702693,0.687163097918027,2.09422475526779,1.12198348219397,0.606512668148178,1.60480009631574,6504.13824627842,3515.95393725498,9303.02615834236
"1907",215011391,88,66,99,0.742375,0.11625,0.005,91,77,99,0.905875,0.202875,0.006875,95,83,100,0.973625,0.4185,0.039,75,66,82,0.060375,0,0,0.980739406160295,0.39612237969141,1.54899961498095,1.56570357912742,0.871347925723181,2.25780581367751,1.30404860042577,0.827206260940372,1.7978817669526,3726.31887571664,2363.74189063711,5137.44714906707
"1908",215011393,87,66,99,0.73325,0.115625,0.003625,76,57,92,0.304375,0.00425,0,85,68,97,0.69275,0.047375,0.001,64,56,71,0,0,0,0.968549169188477,0.402385252965228,1.56047353742964,0.930563061714507,0.222562267793717,1.61025839731576,0.944647961298128,0.470284481902575,1.44050501629759,2178.83052273413,1084.71115750829,3322.5248200904
"1909",215011394,80,56,97,0.488875,0.032125,0.000375,91,77,99,0.9135,0.206125,0.007625,93,80,100,0.946125,0.29375,0.018875,88,78,94,0.922625,0.002625,0,0.780613865630135,0.177645185122922,1.3459458955096,1.57767245591977,0.897323114473607,2.27450800376606,1.22130472182875,0.726046047123101,1.69830953715228,6767.24946365311,4023.0211471091,9410.33314536079
"1910",215021398,71,49,89,0.17125,0.000625,0,83,69,93,0.624125,0.004875,0,84,71,94,0.679125,0.007125,0,68,60,75,0.00025,0,0,0.562180033081831,0.110995074874283,1.02100571657792,1.18944919909841,0.660408925126156,1.70060952451597,0.913343134301713,0.545977754635914,1.27819942021923,2796.65667723184,1671.78388469517,3913.84662471128
"1911",215021399,35,16,63,0.0015,0,0,90,73,99,0.840875,0.174125,0.008375,78,58,95,0.399625,0.01775,0.000375,74,57,87,0.2045,0,0,-0.170225564941699,-0.776667669125281,0.491973544377992,1.48977895089689,0.707689336342662,2.2399329882641,0.753993118442103,0.181400838295803,1.3011846132934,3677.22443864214,884.691888368629,6345.8773590319
"1912",215031400,85,62,99,0.654375,0.09,0.003625,89,74,99,0.836125,0.13875,0.003375,93,80,100,0.938875,0.292,0.018625,87,76,93,0.873125,0.00075,0,0.910301200844965,0.300329713519383,1.50614841047163,1.46046951007897,0.805198744320021,2.18286761186805,1.2161841020732,0.730985958972211,1.7128814883578,6334.49489564824,3807.34036730676,8921.54323211161
"1913",215031401,85,63,99,0.65975,0.086125,0.002625,92,79,100,0.927875,0.240625,0.012375,94,83,100,0.97425,0.40825,0.0435,90,81,95,0.96175,0.008375,0,0.908363910308129,0.313130167153742,1.48641878630889,1.61090171601765,0.913875284204904,2.31361179586328,1.29534989260005,0.833093070613025,1.81006131856328,7235.82450006388,4653.65789244436,10111.0025254945
